Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2001,8,27,1,1345,1345,1530,1535,WN,574,N386@@,105,110,93,-5,0,OAK,SEA,671,7,5,0,NA,0,NA,NA,NA,NA,NA
2001,12,8,6,2033,2039,2149,2159,AS,592,N775A�,76,80,62,-10,-6,SFO,PSP,421,5,9,0,NA,0,NA,NA,NA,NA,NA
2001,1,26,5,1506,1340,1630,1500,UA,2684,N367�1,84,80,60,90,86,OAK,LAX,337,8,16,0,NA,0,NA,NA,NA,NA,NA
2001,8,16,4,NA,1245,NA,1812,DL,1558,N308�1,NA,207,NA,NA,NA,OAK,DFW,1456,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,6,13,3,1644,1645,1852,1905,UA,61,N672�1,308,320,291,-13,-1,SFO,HNL,2398,2,15,0,NA,0,NA,NA,NA,NA,NA
2001,10,14,7,1634,1547,1808,1726,AS,339,N763A�,94,99,80,42,47,SFO,PDX,550,4,10,0,NA,0,NA,NA,NA,NA,NA
2001,4,12,4,1650,1649,2015,2015,UA,272,N515�1,145,146,109,0,1,SFO,DEN,967,20,16,0,NA,0,NA,NA,NA,NA,NA
2001,6,1,5,1310,1310,1354,1355,WN,1775,N791@@,44,45,31,-1,0,OAK,RNO,180,4,9,0,NA,0,NA,NA,NA,NA,NA
2001,8,15,3,1250,1100,1445,1252,AS,547,N771A�,115,112,94,113,110,OAK,SEA,671,10,11,0,NA,0,NA,NA,NA,NA,NA
2001,4,10,2,2059,2105,2214,2224,AA,1947,N488A1,75,79,51,-10,-6,SFO,LAX,337,9,15,0,NA,0,NA,NA,NA,NA,NA
2001,9,23,7,NA,1530,NA,1647,UA,2539,�NKNO�,NA,77,NA,NA,NA,OAK,LAX,337,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,4,14,6,1153,1145,1905,1913,DL,2167,N102D1,252,268,232,-8,8,SFO,ATL,2139,7,13,0,NA,0,NA,NA,NA,NA,NA
2001,5,10,4,856,900,1626,1640,US,1202,N746��,270,280,251,-14,-4,SFO,PIT,2254,6,13,0,NA,0,NA,NA,NA,NA,NA
2001,10,23,2,1215,1215,1256,1300,WN,570,N507@@,41,45,34,-4,0,OAK,RNO,180,2,5,0,NA,0,NA,NA,NA,NA,NA
2001,2,5,1,1758,1805,2308,2335,NW,358,N327N�,190,210,175,-27,-7,SFO,MSP,1589,5,10,0,NA,0,NA,NA,NA,NA,NA
2001,8,7,2,2033,2038,2144,2154,UA,2401,N377�1,71,76,59,-10,-5,SFO,ONT,363,2,10,0,NA,0,NA,NA,NA,NA,NA
2001,5,17,4,2150,2150,602,623,AA,198,N327A1,312,333,278,-21,0,SFO,BOS,2704,20,14,0,NA,0,NA,NA,NA,NA,NA
2001,12,18,2,1920,1905,2218,2215,WN,579,N302@@,118,130,109,3,15,OAK,ABQ,889,3,6,0,NA,0,NA,NA,NA,NA,NA
2001,10,10,3,1435,1240,2110,1807,DL,1558,N311�1,275,207,260,183,115,OAK,DFW,1456,9,6,0,NA,0,NA,NA,NA,NA,NA
2001,11,29,4,959,940,1055,1045,WN,1463,N358@@,56,65,48,10,19,OAK,BUR,325,2,6,0,NA,0,NA,NA,NA,NA,NA
2001,11,7,3,916,920,1730,1755,DL,80,N1609@,314,335,284,-25,-4,SFO,JFK,2586,5,25,0,NA,0,NA,NA,NA,NA,NA
2001,5,26,6,2017,1547,2203,1736,AS,363,N756A�,106,109,90,267,270,OAK,SEA,671,6,10,0,NA,0,NA,NA,NA,NA,NA
2001,12,17,1,1638,1646,1757,1810,AA,555,N3DBA1,79,84,65,-13,-8,SFO,SNA,372,5,9,0,NA,0,NA,NA,NA,NA,NA
2001,5,3,4,2130,2130,2236,2245,WN,886,N609@@,66,75,54,-9,0,OAK,LAX,337,5,7,0,NA,0,NA,NA,NA,NA,NA
2001,1,26,5,904,852,1012,1002,UA,2205,N910�1,68,70,48,10,12,SFO,BUR,326,1,19,0,NA,0,NA,NA,NA,NA,NA
2001,10,15,1,2055,2055,2211,2220,WN,1607,N512@@,76,85,69,-9,0,OAK,SAN,446,2,5,0,NA,0,NA,NA,NA,NA,NA
2001,3,9,5,1236,1240,1958,2016,NW,342,N521��,262,276,240,-18,-4,SFO,DTW,2079,5,17,0,NA,0,NA,NA,NA,NA,NA
2001,10,15,1,649,645,809,820,AS,372,N796A�,80,95,63,-11,4,OAK,SNA,371,5,12,0,NA,0,NA,NA,NA,NA,NA
2001,3,6,2,1340,1340,2221,2203,UA,226,N466�1,341,323,305,18,0,SFO,BDL,2625,6,30,0,NA,0,NA,NA,NA,NA,NA
2001,2,7,3,2208,2200,2326,2327,UA,2183,N371�1,78,87,62,-1,8,SFO,SAN,447,3,13,0,NA,0,NA,NA,NA,NA,NA
2001,7,18,3,557,600,907,925,UA,344,N213�1,130,145,110,-18,-3,SFO,DEN,967,7,13,0,NA,0,NA,NA,NA,NA,NA
2001,6,12,2,850,830,1010,1001,UA,2155,N379�1,80,91,64,9,20,SFO,SAN,447,3,13,0,NA,0,NA,NA,NA,NA,NA
